group_id,n_rows,accepted,reason,c_value,slope,intercept,rmse_log,synthetic_rows,split
state_0.063|0.370|0.670|0.017|0.017|8.990|1.990|0.010|0.200|0.050|0.010|0.005|0.018|0.005|0.000|0.015|0.000|0.010|0.000|1338.000|0.500|978.000|1.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.040|0.290|0.560|0.021|0.016|8.800|2.060|0.010|0.200|0.050|0.010|0.005|0.020|0.005|0.000|0.015|0.000|0.010|0.000|1338.000|0.500|978.000|1.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.106|0.040|0.460|0.008|0.005|8.960|0.470|1.840|0.060|0.050|0.200|0.069|0.050|0.007|0.001|0.015|0.000|0.010|0.000|1343.000|1.000|1043.000|1.000|0.000|2.000,26,False,rmse_too_high,28.0,-7715.821471751085,44884.56638169457,0.36662538555307933,0,final_train
state_0.070|0.060|0.450|0.008|0.005|9.000|0.500|1.800|0.060|0.050|0.200|0.050|0.060|0.010|0.004|0.015|0.000|0.010|0.000|1323.000|1.000|1043.000|1.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.070|0.060|0.450|0.008|0.005|10.000|0.500|1.800|0.060|0.050|0.200|0.050|0.060|0.010|0.004|1.500|0.000|0.010|0.000|1323.000|1.000|1032.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.070|0.060|0.450|0.008|0.005|10.000|0.500|1.500|0.060|0.050|0.200|0.050|0.060|0.010|0.004|1.500|0.000|0.010|0.600|1323.000|1.000|1032.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.070|0.060|0.450|0.008|0.005|11.500|0.500|1.800|0.060|0.050|0.200|0.050|0.060|0.010|0.004|2.500|0.000|0.010|0.600|1323.000|1.000|1053.000|3.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.070|0.060|0.450|0.008|0.005|11.500|0.500|1.500|0.060|0.050|0.200|0.050|0.060|0.010|0.004|2.500|0.000|0.010|0.600|1323.000|1.000|1053.000|3.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.070|0.060|0.450|0.008|0.005|11.500|0.500|1.500|0.060|0.050|0.200|0.050|0.060|0.010|0.004|2.500|0.000|0.010|0.600|1323.000|1.000|1043.000|1.000|0.000|2.000,3,False,too_few_rows,,,,,0,final_train
state_0.082|0.350|0.650|0.008|0.015|11.780|2.000|0.010|0.060|0.050|0.250|0.005|0.014|0.054|0.000|0.015|0.000|0.014|0.000|1273.000|1.000|973.000|1.000|0.000|2.000,17,False,rmse_too_high,30.0,-7913.28088571665,46563.42423111069,0.41979788631155385,0,final_train
state_0.078|0.340|0.640|0.017|0.014|11.610|1.980|0.010|0.620|0.050|0.230|0.005|0.014|0.045|0.000|0.015|0.000|0.015|0.000|1273.000|1.000|973.000|1.000|0.000|2.000,14,True,accepted,28.5,-7283.18044039818,43610.933156692874,0.3243799646840142,14,final_train
state_0.082|0.320|0.640|0.015|0.014|11.970|2.040|0.010|1.320|0.050|0.240|0.005|0.024|0.040|0.000|0.015|0.000|0.009|0.000|1273.000|1.000|973.000|1.000|0.000|2.000,15,False,rmse_too_high,22.0,-6021.432184469536,35085.14842550548,0.4645842285823313,0,final_train
state_0.082|0.330|0.630|0.015|0.014|12.010|2.020|0.010|2.000|0.050|0.250|0.005|0.030|0.057|0.000|0.015|0.000|0.015|0.000|1273.000|1.000|973.000|1.000|0.000|2.000,15,True,accepted,16.5,-4544.891681245236,26709.186443477665,0.13846484910644,15,final_train
state_0.080|0.300|0.450|0.015|0.014|9.000|1.000|0.010|0.200|0.050|0.200|0.080|0.050|0.008|0.000|0.015|0.000|0.010|0.000|1293.000|1.000|1033.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.080|0.300|0.450|0.015|0.014|9.000|1.000|0.010|0.200|0.050|0.200|0.080|0.050|0.008|0.000|0.015|0.000|0.010|0.000|1313.000|1.000|1033.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.080|0.300|0.450|0.015|0.014|9.000|1.000|0.010|0.200|0.050|0.200|0.080|0.050|0.008|0.000|0.015|0.000|0.010|0.000|1333.000|1.000|1033.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.080|0.300|0.450|0.015|0.014|9.000|1.000|0.010|0.200|0.050|0.200|0.080|0.050|0.008|0.000|0.015|0.000|0.010|0.000|1353.000|1.000|1033.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.080|0.300|0.450|0.015|0.014|9.000|1.000|0.010|0.200|0.050|0.200|0.080|0.050|0.008|0.000|0.015|0.000|0.010|0.000|1373.000|1.000|1033.000|3.000|0.000|2.000,1,False,too_few_rows,,,,,0,final_train
state_0.060|0.400|0.270|0.013|0.005|8.600|0.800|0.010|0.070|0.050|0.260|0.080|0.040|0.020|0.000|0.015|0.000|0.010|0.000|1223.000|1.000|1033.000|1.000|0.000|2.000,5,True,accepted,12.5,-9318.564487206932,32832.17813980598,0.26652513636487507,5,final_train
state_0.060|0.400|0.270|0.013|0.005|8.600|0.800|0.010|0.070|0.050|0.260|0.080|0.040|0.020|0.000|0.015|0.000|0.010|0.000|1223.000|1.000|1003.000|1.000|0.000|2.000,5,True,accepted,22.75,-8541.638057333972,40243.790389112655,0.22671363323167842,5,final_train
state_0.060|0.400|0.270|0.013|0.005|8.600|0.800|0.010|0.070|0.050|0.260|0.080|0.040|0.020|0.000|0.015|0.000|0.010|0.000|1123.000|1.000|1033.000|1.000|0.000|2.000,6,True,accepted,11.75,-6365.204186694942,25149.869972029428,0.17109483294336056,6,final_train
state_0.070|0.060|0.420|0.002|0.005|8.980|0.520|1.650|0.100|0.050|0.160|0.049|0.038|0.008|0.004|0.015|0.000|0.010|0.000|1323.000|1.000|1053.000|1.000|0.000|2.000,17,False,rmse_too_high,30.0,-8730.851371688159,48865.54808341373,0.37914966094673175,0,final_train
state_0.085|0.060|0.450|0.004|0.002|9.000|0.500|1.800|0.100|0.050|0.200|0.054|0.048|0.008|0.004|0.015|0.000|0.010|0.000|1323.000|1.000|1053.000|1.000|0.000|2.000,25,True,accepted,30.0,-8849.438683024537,49098.09631760927,0.3403219017110604,20,final_train
